ID	MAC					SPOT(TRUE)	RSS	    LOCATION		DATE
1	58:10:8c:28:3a:d4 		1	 	-93		room304		2018-05-19 19:27:04
2	72:81:05:be:b4:63 		1	 	-84		room304		2018-05-19 19:27:04
3	18:9c:5d:8e:d0:a0 		1	 	-81		room304		2018-05-19 19:27:04
4	e8:de:27:f7:8f:26 		1	 	-93		room304		2018-05-19 19:27:04
5	70:81:05:be:b4:ab 		1	 	-89		room304		2018-05-19 19:27:04
6	cc:ef:48:87:22:01 		1	 	-83		room304		2018-05-19 19:27:04
7	cc:ef:48:87:21:67 		1	 	-88		room304		2018-05-19 19:27:04
8	70:81:05:be:b5:57 		1	 	-57		room304		2018-05-19 19:27:04
9	84:16:f9:11:b2:11 		1	 	-59		room304		2018-05-19 19:27:04
10	70:81:05:be:b4:63 		1	 	-80		room304		2018-05-19 19:27:09
11	4c:5e:0c:65:fa:25 		1	 	-91		room304		2018-05-19 19:27:09
12	58:10:8c:28:3a:d4 		1	 	-93		room304		2018-05-19 19:27:09
13	72:81:05:be:b4:63 		1	 	-84		room304		2018-05-19 19:27:09
14	18:9c:5d:8e:d0:a0 		1	 	-78		room304		2018-05-19 19:27:09
15	e8:de:27:f7:8f:26 		1	 	-90		room304		2018-05-19 19:27:09
16	70:81:05:be:b4:ab 		1	 	-89		room304		2018-05-19 19:27:09
17	cc:ef:48:87:22:01 		1	 	-83		room304		2018-05-19 19:27:09
18	cc:ef:48:87:21:67 		1	 	-85		room304		2018-05-19 19:27:09
19	70:81:05:be:b5:57 		1	 	-51		room304		2018-05-19 19:27:09
20	84:16:f9:11:b2:11 		1	 	-53		room304		2018-05-19 19:27:09
21	70:4f:57:41:10:e2 		1	 	-90		room304		2018-05-19 19:27:12
22	30:b5:c2:b4:cd:f1 		1	 	-92		room304		2018-05-19 19:27:12
23	ec:08:6b:dd:d4:ea 		1	 	-84		room304		2018-05-19 19:27:12
24	70:81:05:be:b4:63 		1	 	-82		room304		2018-05-19 19:27:12
25	72:81:05:be:b4:63 		1	 	-83		room304		2018-05-19 19:27:12
26	18:9c:5d:8e:d0:a0 		1	 	-75		room304		2018-05-19 19:27:12
27	e8:de:27:f7:8f:26 		1	 	-90		room304		2018-05-19 19:27:12
28	70:81:05:be:b4:ab 		1	 	-89		room304		2018-05-19 19:27:12
29	cc:ef:48:87:22:01 		1	 	-86		room304		2018-05-19 19:27:12
30	cc:ef:48:87:21:67 		1	 	-86		room304		2018-05-19 19:27:12
31	70:81:05:be:b5:57 		1	 	-49		room304		2018-05-19 19:27:12
32	84:16:f9:11:b2:11 		1	 	-55		room304		2018-05-19 19:27:12
33	70:4f:57:41:10:e2 		1	 	-90		room304		2018-05-19 19:27:16
34	30:b5:c2:b4:cd:f1 		1	 	-92		room304		2018-05-19 19:27:16
35	ec:08:6b:dd:d4:ea 		1	 	-84		room304		2018-05-19 19:27:16
36	70:81:05:be:b4:63 		1	 	-82		room304		2018-05-19 19:27:16
37	72:81:05:be:b4:63 		1	 	-83		room304		2018-05-19 19:27:16
38	18:9c:5d:8e:d0:a0 		1	 	-75		room304		2018-05-19 19:27:16
39	e8:de:27:f7:8f:26 		1	 	-90		room304		2018-05-19 19:27:16
40	70:81:05:be:b4:ab 		1	 	-89		room304		2018-05-19 19:27:16
41	cc:ef:48:87:22:01 		1	 	-86		room304		2018-05-19 19:27:17
42	cc:ef:48:87:21:67 		1	 	-86		room304		2018-05-19 19:27:17
43	70:81:05:be:b5:57 		1	 	-49		room304		2018-05-19 19:27:17
44	84:16:f9:11:b2:11 		1	 	-55		room304		2018-05-19 19:27:17
45	70:81:05:be:b4:ed 		1	 	-92		room304		2018-05-19 19:27:22
46	70:81:05:be:b4:cf 		1	 	-93		room304		2018-05-19 19:27:22
47	70:4f:57:41:10:e2 		1	 	-90		room304		2018-05-19 19:27:22
48	70:81:05:be:b4:63 		1	 	-83		room304		2018-05-19 19:27:22
49	18:9c:5d:8e:d0:a0 		1	 	-79		room304		2018-05-19 19:27:22
